Date,Name,Year,Letterboxd URI,Rating
2019-11-20,Seth Meyers: Lobby Baby,2019,https://boxd.it/nPXI,3.5
2019-11-20,John Mulaney: Kid Gorgeous at Radio City,2018,https://boxd.it/iTts,3
2019-11-20,Michael Jr: Laughing On Purpose,2013,https://boxd.it/briM,4
2019-11-21,Cars,2006,https://boxd.it/29ho,3
2019-11-21,Cars 2,2011,https://boxd.it/H4Y,3.5
2019-11-21,Toy Story 2,1999,https://boxd.it/29qq,3.5
2019-11-22,Cars 3,2017,https://boxd.it/7IPq,3
2019-11-25,Finding Nemo,2003,https://boxd.it/72i,3
2019-11-25,Finding Dory,2016,https://boxd.it/4aAA,2.5
2019-11-28,Source Code,2011,https://boxd.it/fdo,3
2019-11-28,Columbus,2017,https://boxd.it/eCuA,3
2019-11-28,The Good Dinosaur,2015,https://boxd.it/3AD4,2.5
2019-11-30,La La Land,2016,https://boxd.it/a5fa,4
2019-12-02,Knives Out,2019,https://boxd.it/jWEA,4
2019-12-05,Lady and the Tramp,2019,https://boxd.it/izy8,2.5
2019-12-05,The Princess and the Frog,2009,https://boxd.it/1WQq,3
2019-12-05,Non-Stop,2014,https://boxd.it/6FtO,3.5
2019-12-05,Buried,2010,https://boxd.it/1tXC,3.5
2019-12-05,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/27V2,3
2019-12-07,Brittany Runs a Marathon,2019,https://boxd.it/jgGE,3.5
2019-12-09,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,3.5
2019-12-10,The Adventures of Sharkboy and Lavagirl,2005,https://boxd.it/1Ozm,1.5
2019-12-12,Get Squirrely,2015,https://boxd.it/dxao,0.5
2019-12-12,Super 8,2011,https://boxd.it/dVI,3.5
2019-12-12,Downsizing,2017,https://boxd.it/9Ajq,1
2019-12-14,Signs,2002,https://boxd.it/26t2,4
2019-12-15,Marriage Story,2019,https://boxd.it/hJAw,4.5
2019-12-15,Star Wars,1977,https://boxd.it/72s,4
2019-12-16,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/27US,3.5
2019-12-16,Return of the Jedi,1983,https://boxd.it/27Vm,4
2019-12-19,National Treasure: Book of Secrets,2007,https://boxd.it/21rq,3
2019-12-21,"Honey, I Shrunk the Kids",1989,https://boxd.it/1YTw,3
2019-12-21,"Honey, I Blew Up the Kid",1992,https://boxd.it/1UuM,3
2019-12-21,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,3.5
2019-12-23,The Arrested Development Documentary Project,2013,https://boxd.it/5LWA,4
2019-12-25,Brave,2012,https://boxd.it/bVG,2.5
2019-12-25,John Mulaney & The Sack Lunch Bunch,2019,https://boxd.it/o9Fu,3.5
2019-12-26,Joker,2019,https://boxd.it/h4cS,4.5
2019-12-27,Life,2017,https://boxd.it/dRqG,3.5
2019-12-27,Gemini Man,2019,https://boxd.it/gaUu,2.5
2019-12-28,The Lego Ninjago Movie,2017,https://boxd.it/8lEw,3
2019-12-28,National Treasure,2004,https://boxd.it/27x0,3.5
2019-12-28,Paul Blart: Mall Cop,2009,https://boxd.it/1NQw,1.5
2019-12-30,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ,2.5
2019-12-30,Jurassic Park,1993,https://boxd.it/2aA2,4
2019-12-31,Bumblebee,2018,https://boxd.it/f21O,3
2019-12-31,Wonder Park,2019,https://boxd.it/e1A2,2.5
2020-01-01,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,3.5
2020-01-01,Aladdin,2019,https://boxd.it/eSjy,3.5
2020-01-01,Norm of the North,2016,https://boxd.it/8qZE,1
2020-01-01,Instant Family,2018,https://boxd.it/hHpQ,4
2020-01-02,Murder Mystery,2019,https://boxd.it/iEBm,3.5
2020-01-03,Ex Machina,2015,https://boxd.it/7T2k,4
2020-01-03,Spy Kids,2001,https://boxd.it/1Xcw,3
2020-01-03,Psych: The Musical,2013,https://boxd.it/hJSg,3.5
2020-01-03,Psych: The Movie,2017,https://boxd.it/glVo,4
2020-01-03,"Extremely Wicked, Shockingly Evil and Vile",2019,https://boxd.it/glCG,3
2020-01-04,Limitless,2011,https://boxd.it/Aly,3.5
2020-01-04,Stronger,2017,https://boxd.it/dRqQ,3.5
2020-01-06,Accidental Love,2015,https://boxd.it/acfG,1
2020-01-07,The Report,2019,https://boxd.it/j2X2,4
2020-01-09,Transformers: Dark of the Moon,2011,https://boxd.it/16aC,2.5
2020-01-11,The Grinch,2018,https://boxd.it/chpK,2.5
2020-01-12,Sherlock Holmes,2009,https://boxd.it/1W2A,3
2020-01-12,Catch Me If You Can,2002,https://boxd.it/29VS,4
2020-01-13,Okja,2017,https://boxd.it/dvXe,3.5
2020-01-15,Mission: Impossible,1996,https://boxd.it/29d2,4
2020-01-15,Captain Marvel,2019,https://boxd.it/9vSA,2.5
2020-01-17,A Bug's Life,1998,https://boxd.it/1Yyy,3
2020-01-17,A Quiet Place,2018,https://boxd.it/fVJQ,4
2020-01-18,Inside Out,2015,https://boxd.it/4KHC,3
2020-01-19,Midsommar,2019,https://boxd.it/jhxe,3.5
2020-01-20,What's Eating Gilbert Grape,1993,https://boxd.it/28xg,3.5
2020-01-20,1917,2019,https://boxd.it/jj4y,4
2020-01-21,Don't Talk to Irene,2017,https://boxd.it/gTSe,3.5
2020-01-22,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,3
2020-01-24,Tomorrowland,2015,https://boxd.it/4YaC,3
2020-01-25,Jumanji: The Next Level,2019,https://boxd.it/ixu4,3.5
2020-01-26,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,3
2020-01-27,Mine,2016,https://boxd.it/bywc,1.5
2020-01-28,Annihilation,2018,https://boxd.it/9yzm,3.5
2020-01-29,Overlord,2018,https://boxd.it/fAwm,3.5
2020-02-01,The Lion King,2019,https://boxd.it/eSjI,3
2020-02-01,Elf,2003,https://boxd.it/1VyK,3.5
2020-02-02,The Invention of Lying,2009,https://boxd.it/1zGs,3
2020-02-03,Up in the Air,2009,https://boxd.it/1zPY,3.5
2020-02-03,Moon,2009,https://boxd.it/1IGQ,3
2020-02-03,2012,2009,https://boxd.it/1OE2,3
2020-02-03,Hancock,2008,https://boxd.it/1Zv6,2
2020-02-05,Zombieland: Double Tap,2019,https://boxd.it/bgb6,3
2020-02-08,Aquaman,2018,https://boxd.it/9ru0,3.5
2020-02-08,Dora and the Lost City of Gold,2019,https://boxd.it/i1VW,2.5
2020-02-09,Ghostbusters,2016,https://boxd.it/Vm8,2.5
2020-02-09,Room,2015,https://boxd.it/7T0y,3.5
2020-02-10,Now You See Me,2013,https://boxd.it/2Bsu,3
2020-02-10,Now You See Me 2,2016,https://boxd.it/99fw,3
2020-02-11,Honey Boy,2019,https://boxd.it/ixvm,3.5
2020-02-12,Yes Man,2008,https://boxd.it/1WPW,3
2020-02-12,Dumb and Dumber,1994,https://boxd.it/206m,2
2020-02-13,Sicario,2015,https://boxd.it/8i7u,3.5
2020-02-15,Sonic the Hedgehog,2020,https://boxd.it/gdK8,1.5
2020-02-16,Parasite,2019,https://boxd.it/hTha,4.5
