Date,Content,Comment
2020-09-05,https://boxd.it/1kR9jF,"I enjoyed the movie, but I felt it lacked in story and writing (non jokes that is). Someone can tell a good joke at a funeral but that does not make the funeral a good time"
2020-09-06,https://boxd.it/1l4lph,Enjoying the tags
2020-09-12,https://boxd.it/1lFSe1,I haven't seen this or pulp fiction and I call myself a film fan - I'm embarrassed too
2020-09-17,https://boxd.it/31CQu,neon more like pee on
2020-09-21,https://boxd.it/1mFzfN,right there with ya man
2020-09-23,https://boxd.it/4uGnI,These are rookie numbers check my list
2020-09-29,https://boxd.it/pCgjT,well said
2020-10-01,https://boxd.it/1niti5,why
2020-10-03,,I disagree this movie couldve been 10 hours and i would watch every second
2020-10-08,https://boxd.it/1olL25,"no, no. he's got a point."
2020-10-08,https://boxd.it/1on8ft,this made me laugh more than the entire movie
2020-10-08,https://boxd.it/1onuAX,"I think you meant ""Hubie"" what a silly boner you just had"
2020-10-17,https://boxd.it/1pmy5r,I totally agree with that last part. make a list
2020-10-20,https://boxd.it/1pCXeb,im glad i could provide
2020-10-20,https://boxd.it/1pCXeb,and its the part where youre just dropping down a metal pipe or st and its really dark. Idk why but its the same reason I consider As Above so Below as the scariest movie ever. Something ab inescapability i guess.
2020-10-22,https://boxd.it/1pRHrX,who are you and what did you do to Keith
2020-10-22,https://boxd.it/1pVzU1,liked and subscribed😎
2020-10-23,https://boxd.it/1pVzU1,Boys support boys😤😤
2020-10-23,https://boxd.it/40UNA,"Thank you, yeah I like your list as well. Searching and Fallout are underrated imo."
2020-10-26,https://boxd.it/1qmTYV,can i take a guess and say the scene where he takes the knife out and puts it back in as a part that made you laugh? The whole movie was pretty unfunny but i cackled during that part
2020-11-06,https://boxd.it/1rCrJJ,Keith make a 2020 ranked list
2020-11-06,,"I bet you think you're real fancy with your new abbreviation, don't you? Well, I disagree! More letters means cooler account! I mean, it's literally in the name LETTERboxd. SMH my head😭😭"
2020-11-06,,Jokes on you i dont even know what that word means😎
2020-11-06,,Just looked it up you spelt it wrong therefore your argument is invalid😎
2020-11-11,https://boxd.it/1s9ZrP,"I disagree, but i see where you're coming from"
2020-11-12,https://boxd.it/1seisv,"""after years of being told to watch this"" what happened to spite🤨🤨"
2020-11-18,https://boxd.it/1sQZon,I regret writing this
2020-11-18,https://boxd.it/1sQZon,Also they should have had Jamie Lee Curtis go on the stage during the concert that would have been a much better ending
2020-11-18,https://boxd.it/1sQZon,Fr. She was surprisingly good in this movie. Its a shame how most childhood actors turn out :/
2020-11-21,https://boxd.it/1sQZon,Thanks Aiden❤️
2020-11-22,https://boxd.it/1tffGl,did tik tok make you watch this
2020-11-22,https://boxd.it/1tffGl,Yeah i checked the letterboxd page after i saw a bunch of ppl talking ab it... i decided not to add it to the watchlist after i saw the average rating. This tends to happen with a lot of the movies tiktok recommends to me
2020-11-23,https://boxd.it/1tffGl,That’s what I did with Grown Ups. I guarantee that was the only reason I was able to get through it
2020-12-02,https://boxd.it/1uhBu5,Where's your first-of-the-month The House That Jack Built log?😂
2020-12-03,https://boxd.it/1uhBu5,RIP😞🤚
